indiv id,original_time(ms),original_result_size,original_nb indiv,original_nodes,severin ok, soft diff,tasks_time(ms),tasks_result_size,tasks_nb indiv,severin ok, soft diff,CR_time(ms),CR_result_size,CR_nb indiv,CR_nodes,severin ok, soft diff
room_B_shelf_0,0.485909,2,1,6,1,1,0.694669,2,1,1,1,1.598254,3,2,14,0,1
box_l_1,0.217469,2,1,3,1,1,0.940093,3,1,1,1,0.596541,3,2,12,0,1
shelf_l_1,0.416069,3,2,7,0,1,0.941829,2,1,1,1,0.685916,2,1,8,1,1
box_l_2,1.361858,4,2,17,0,1,0.401585,2,1,1,1,0.628512,2,1,9,1,1
can_l_0,0.014065,1,1,2,1,1,0.508015,2,1,1,1,0.658631,3,1,12,1,1
box_l_3,1.1367,4,2,16,0,1,9.136083,4,2,0,1,1.363851,2,1,4,1,1
room_B_lamp_0,0.305946,3,2,8,0,1,0.013077,1,1,1,1,0.017147,1,1,2,1,1
room_B_lamp_1,0.111063,2,1,3,1,1,9.653615,4,2,0,1,0.112483,2,1,4,1,1
lamp_O_0,0.685341,5,2,13,0,1,70.577606,6,3,0,1,5.554281,4,2,29,0,1
table_O_1,0.941871,3,1,19,1,1,0.154667,2,1,1,1,1.733654,5,3,29,0,1
room_B_shelf_2,0.220443,2,1,4,1,1,7.610336,4,2,0,1,7.619192,4,2,35,0,1
room_B_coat_hanger_0,0.073927,2,1,3,1,1,0.178833,2,1,1,1,0.618058,2,1,4,1,1
room_B_book_0,6.405807,6,3,33,0,1,3.404545,4,2,0,1,0.578893,2,1,5,1,1
ball_l_0,0.067859,2,1,3,1,1,0.730637,2,1,1,1,0.621853,2,1,6,1,1
room_B_shelf_1,2.316131,3,2,35,0,1,0.509738,2,1,1,1,0.374592,2,1,4,1,1
fan_O_0,0.014185,1,1,2,1,1,3.391011,3,2,0,1,1.301659,2,1,6,1,1
ball_O_0,0.059308,2,1,3,1,1,1.442332,3,1,1,1,0.730397,3,1,8,1,1
